W0426 23:28:35.317000 552003 torch/distributed/run.py:803] 
W0426 23:28:35.317000 552003 torch/distributed/run.py:803] *****************************************
W0426 23:28:35.317000 552003 torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0426 23:28:35.317000 552003 torch/distributed/run.py:803] *****************************************
[W426 23:28:46.409025981 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.409415920 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.410824384 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.411505168 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.411673055 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.411740194 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.411813603 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W426 23:28:46.412504142 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
Hyperparameters:
  adam_eps: 1e-08
  adam_wd: 0.02
  artifact_dir: artifacts/loop_untie_fast_s1337
  attn_clip_sigmas: 13.0
  attn_out_gate_enabled: False
  attn_out_gate_src: proj
  beta1: 0.9
  beta2: 0.95
  bump_obs_counterfactual: True
  bump_obs_enabled: True
  bump_obs_end_step: -1
  bump_obs_every: 1
  bump_obs_layer_stats: True
  bump_obs_n: 20
  bump_obs_post_late_offset: 100
  bump_obs_probe_batches: 4
  bump_obs_start_step: -1
  caseops_enabled: True
  compressor: brotli
  data_dir: .
  datasets_dir: ./datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved
  distributed: True
  ema_decay: 0.9965
  embed_bits: 7
  embed_clip_sigmas: 15.0
  embed_lr: 0.6
  embed_wd: 0.085
  enable_looping_at: 999.0
  enable_looping_step: 2200
  eval_only_path: 
  eval_seq_len: 8192
  eval_stride: 64
  force_serialize_in_eval_only: False
  gate_window: 12
  gated_attn_enabled: True
  gated_attn_init_std: 0.005
  gated_attn_quant_gate: True
  global_ttt_batch_seqs: 32
  global_ttt_chunk_tokens: 65536
  global_ttt_epochs: 1
  global_ttt_grad_clip: 1.0
  global_ttt_lr: 0.001
  global_ttt_momentum: 0.9
  global_ttt_respect_doc_boundaries: True
  global_ttt_warmup_chunks: 0
  global_ttt_warmup_start_lr: 0.0
  gptq_calibration_batches: 16
  gptq_reserve_seconds: 4.0
  grad_accum_steps: 1
  grad_clip_norm: 0.3
  is_main_process: True
  iterations: 20000
  ln_scale: True
  local_rank: 0
  logfile: artifacts/loop_untie_fast_s1337/loop_untie_fast_s1337.txt
  logit_softcap: 30.0
  loop_end: 5
  loop_ramp_steps: 0
  loop_scalar_log_enabled: False
  loop_scalar_log_end_step: -1
  loop_scalar_log_every: 1
  loop_scalar_log_post_steps: 400
  loop_scalar_log_pre_steps: 100
  loop_scalar_log_start_step: -1
  loop_start: 3
  loop_untie_extra_scalars: True
  matrix_bits: 6
  matrix_clip_sigmas: 12.85
  matrix_lr: 0.026
  max_wallclock_seconds: 600.0
  min_lr: 0.0
  mlp_clip_sigmas: 12.0
  mlp_mult: 4.0
  model_dim: 512
  model_path: artifacts/loop_untie_fast_s1337/final_model.pt
  muon_backend_steps: 5
  muon_momentum: 0.97
  muon_momentum_warmup_start: 0.92
  muon_momentum_warmup_steps: 1500
  muon_row_normalize: True
  muon_wd: 0.095
  num_heads: 8
  num_kv_heads: 4
  num_layers: 11
  num_loops: 2
  parallel_final_lane: mean
  parallel_start_layer: 8
  phased_ttt_num_phases: 3
  phased_ttt_prefix_docs: 2000
  qk_gain_init: 5.0
  quantized_model_path: artifacts/loop_untie_fast_s1337/final_model.int6.ptz
  rank: 0
  rope_base: 10000.0
  rope_dims: 16
  rope_train_seq_len: 2048
  rope_yarn: True
  run_id: loop_untie_fast_s1337
  scalar_lr: 0.02
  seed: 1337
  seq_len_bump_frac: 0.85
  skip_gates_enabled: True
  smear_gate_enabled: False
  tie_embeddings: True
  tied_embed_init_std: 0.005
  tied_embed_lr: 0.03
  tokenizer_path: ./tokenizers/fineweb_8192_bpe_lossless_caps_caseops_v1_reserved.model
  train_batch_tokens: 786432
  train_files: ./datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/fineweb_train_*.bin
  train_log_every: 500
  train_seq_len: 2048
  train_seq_len_end: 8192
  ttt_batch_size: 16
  ttt_beta1: 0.0
  ttt_beta2: 0.999
  ttt_chunk_size: 64
  ttt_enabled: True
  ttt_eval_batches: 
  ttt_eval_seq_len: 8192
  ttt_grad_steps: 1
  ttt_k_lora: True
  ttt_lora_lr: 7.5e-05
  ttt_lora_rank: 96
  ttt_mlp_lora: True
  ttt_o_lora: True
  ttt_optimizer: adam
  ttt_weight_decay: 0.5
  val_batch_tokens: 524288
  val_bytes_files: ./datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/fineweb_val_bytes_*.bin
  val_doc_fraction: 1.0
  val_files: ./datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/fineweb_val_*.bin
  val_loss_every: 4000
  vocab_size: 8192
  warmdown_frac: 0.75
  warmup_steps: 20
  world_size: 8
  xsa_last_n: 11
train_shards: 80
val_tokens: 47849472
model_params:36001946
loop_extra_scalars:enabled shape_attn:(2, 3, 512) shape_mlp:(2, 3, 512) shape_resid_mix:(2, 3, 2, 512) numel:12288 raw_fp32_bytes:49152
gptq:reserving 4s, effective=596000ms
warmup_cu_buckets:64,128,192,256 iters_each:3
warmup_step: 1/20
warmup_step: 2/20
warmup_step: 3/20
warmup_step: 4/20
warmup_step: 5/20
warmup_step: 6/20
warmup_step: 10/20
warmup_step: 20/20
loop_warmup:enabled encoder:[0, 1, 2, 3, 4, 5, 3, 4] decoder:[5, 3, 4, 5, 6, 7, 8, 9, 10]
loop_warmup_step: 1/20
loop_warmup_step: 2/20
loop_warmup_step: 3/20
loop_warmup_step: 4/20
loop_warmup_step: 5/20
loop_warmup_step: 6/20
loop_warmup_step: 10/20
loop_warmup_step: 20/20
bump_prewarm:seq_len:2048->8192 looping:1
bump_loop_warmup_step: 1/20
bump_loop_warmup_step: 2/20
bump_loop_warmup_step: 3/20
bump_loop_warmup_step: 4/20
bump_loop_warmup_step: 5/20
bump_loop_warmup_step: 6/20
bump_loop_warmup_step: 10/20
bump_loop_warmup_step: 20/20
0/20000 val_loss: 9.0034 val_bpb: 4.1142
1/20000 train_loss: 9.0036 train_time: 0.0m tok/s: 12761405
2/20000 train_loss: 12.9167 train_time: 0.0m tok/s: 11487474
3/20000 train_loss: 10.2019 train_time: 0.0m tok/s: 10189354
4/20000 train_loss: 8.5963 train_time: 0.0m tok/s: 9666254
5/20000 train_loss: 7.8190 train_time: 0.0m tok/s: 9357001
500/20000 train_loss: 2.5893 train_time: 0.8m tok/s: 8091387
1000/20000 train_loss: 2.8120 train_time: 1.6m tok/s: 8047234
1500/20000 train_loss: 2.6389 train_time: 2.4m tok/s: 8034235
2000/20000 train_loss: 2.6664 train_time: 3.3m tok/s: 8029142
bump_probe step:2180 frac:0.358555 phase:pre loop_active:0 loss:2.57937154 bpb:1.18679552 eval_time:115ms
bump_counterfactual step:2180 frac:0.358555 phase:pre p_loop:0.000000 policy_loss:2.57937154 policy_bpb:1.18679552 loop_off_loss:2.57937154 loop_off_bpb:1.18679552 loop_on_loss:2.77669911 loop_on_bpb:1.27758797 delta_loss:0.19732757 delta_bpb:0.09079246
bump_layer_stats step:2180 frac:0.358555 phase:pre layer:0 looped:0 grad_norm:5.39719045e-02 param_norm:1.35669265e+02 grad_param_ratio:3.97819688e-04
bump_layer_stats step:2180 frac:0.358555 phase:pre layer:1 looped:0 grad_norm:4.70577034e-02 param_norm:1.35627650e+02 grad_param_ratio:3.46962463e-04
bump_layer_stats step:2180 frac:0.358555 phase:pre layer:2 looped:0 grad_norm:4.43383008e-02 param_norm:1.38206357e+02 grad_param_ratio:3.20812312e-04
bump_layer_stats step:2180 frac:0.358555 phase:pre layer:3 looped:1 grad_norm:4.40165123e-02 param_norm:1.35381913e+02 grad_param_ratio:3.25128454e-04
