
NOTICE: Existing SQLite export found: nsys_exp_fused_fp8_softcap_ce.sqlite
        It is assumed file was previously exported from: nsys_exp_fused_fp8_softcap_ce.nsys-rep
        Consider using --force-export=true if needed.

Processing [nsys_exp_fused_fp8_softcap_ce.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     13.2       3742306366       3520  1063155.2  1058209.5    948515   1315457      46833.9  void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnBwdSm90<flash::CollectiveMa…
     12.9       3670113475       7040   521322.9   519490.0    491970    592288      12048.2  linear_leaky_relu_square_kernel                                                                     
      8.3       2370368693      17920   132275.0    87168.0     55424   1084547     151594.8  nvjet_tst_256x128_64x4_1x2_h_bz_coopA_NNT                                                           
      6.6       1866174993       7040   265081.7   264864.0    252896    306272       4080.9  nvjet_tst_256x128_64x4_1x2_h_bz_coopA_splitK_NTT                                                    
      5.6       1600195761      10560   151533.7    88064.0     83488    314401      90833.5  nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT                                                           
      5.3       1511346049       3520   429359.7   426305.0    362881    520928      29478.1  void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMa…
      2.0        580662918       1280   453642.9    87312.0     37184  16036903    1207649.5  ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)         
      1.9        550470297       7040    78191.8    78816.0     70432     89761       2502.5  nvjet_tst_128x128_64x6_2x1_v_bz_splitK_NTT                                                          
      1.9        543452675       3520   154390.0   154976.0    149409    158880       2081.4  void cutlass::device_kernel<flash::FlashAttnBwdPreprocess<cute::tuple<cute::C<(int)128>, cute::C<(i…
      1.4        401377986       7040    57013.9    56864.0     54112     62784       1315.7  nvjet_tst_128x256_64x4_2x1_v_bz_coopA_TNN                                                           
      1.4        392779785       7040    55792.6    55328.0     53376     63616       1746.3  nvjet_tst_128x64_64x8_1x2_h_bz_splitK_NTT                                                           
      1.4        385745222       7040    54793.4    54784.0     51968     57920        983.7  void cutlass::device_kernel<flash::FlashAttnBwdPostprocessConvertdQ<cute::tuple<cute::C<(int)128>, …
      1.4        384159517       3200   120049.8   119296.0    116448    126432       2144.6  triton_per_fused__to_copy__unsafe_view_add_clamp_min_div_empty_like_eq_expand_ge_masked_fill_mul_ne…
